date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:52:58	3322/3322	---M--	200	added ('OK')	image/svg+xml	etag:%22cfa-607431047e73d%22	https://themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/amp.svg	D:/mes_projets/Projet_Presentia/template_exauce/deuxieme_template/themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/amp.svg	(from https://themesbrand.com/velzon/html/material/icons-crypto.html)
16:52:58	1454/1454	---M--	200	added ('OK')	image/svg+xml	etag:%225ae-607431047e73d%22	https://themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/ampl.svg	D:/mes_projets/Projet_Presentia/template_exauce/deuxieme_template/themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/ampl.svg	(from https://themesbrand.com/velzon/html/material/icons-crypto.html)
16:52:58	900/900	---M--	200	added ('OK')	image/svg+xml	etag:%22384-607431047e73d%22	https://themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/ankr.svg	D:/mes_projets/Projet_Presentia/template_exauce/deuxieme_template/themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/ankr.svg	(from https://themesbrand.com/velzon/html/material/icons-crypto.html)
16:52:59	294/294	---M--	200	added ('OK')	image/svg+xml	etag:%22126-607431047e73d%22	https://themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/apex.svg	D:/mes_projets/Projet_Presentia/template_exauce/deuxieme_template/themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/apex.svg	(from https://themesbrand.com/velzon/html/material/icons-crypto.html)
16:52:59	936/936	---M--	200	added ('OK')	image/svg+xml	etag:%223a8-607431047e73d%22	https://themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/appc.svg	D:/mes_projets/Projet_Presentia/template_exauce/deuxieme_template/themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/appc.svg	(from https://themesbrand.com/velzon/html/material/icons-crypto.html)
16:52:59	300/300	---M--	200	added ('OK')	image/svg+xml	etag:%2212c-607431047e73d%22	https://themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/ardr.svg	D:/mes_projets/Projet_Presentia/template_exauce/deuxieme_template/themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/ardr.svg	(from https://themesbrand.com/velzon/html/material/icons-crypto.html)
16:53:00	809/809	---M--	200	added ('OK')	image/svg+xml	etag:%22329-607431047e73d%22	https://themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/arg.svg	D:/mes_projets/Projet_Presentia/template_exauce/deuxieme_template/themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/arg.svg	(from https://themesbrand.com/velzon/html/material/icons-crypto.html)
16:53:00	9218/9218	---M--	200	added ('OK')	image/svg+xml	etag:%222402-607431047e73d%22	https://themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/arnx.svg	D:/mes_projets/Projet_Presentia/template_exauce/deuxieme_template/themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/arnx.svg	(from https://themesbrand.com/velzon/html/material/icons-crypto.html)
16:53:01	902/902	---M--	200	added ('OK')	image/svg+xml	etag:%22386-607431047e73d%22	https://themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/ary.svg	D:/mes_projets/Projet_Presentia/template_exauce/deuxieme_template/themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/ary.svg	(from https://themesbrand.com/velzon/html/material/icons-crypto.html)
16:53:02	1142/1142	---M--	200	added ('OK')	image/svg+xml	etag:%22476-607431047e73d%22	https://themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/ast.svg	D:/mes_projets/Projet_Presentia/template_exauce/deuxieme_template/themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/ast.svg	(from https://themesbrand.com/velzon/html/material/icons-crypto.html)
16:53:02	1689/1689	---M--	200	added ('OK')	image/svg+xml	etag:%22699-607431047e73d%22	https://themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/atom.svg	D:/mes_projets/Projet_Presentia/template_exauce/deuxieme_template/themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/atom.svg	(from https://themesbrand.com/velzon/html/material/icons-crypto.html)
16:53:03	549/549	---M--	200	added ('OK')	image/svg+xml	etag:%22225-607431047e73d%22	https://themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/audr.svg	D:/mes_projets/Projet_Presentia/template_exauce/deuxieme_template/themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/audr.svg	(from https://themesbrand.com/velzon/html/material/icons-crypto.html)
16:53:03	437/437	---M--	200	added ('OK')	image/svg+xml	etag:%221b5-607431047e73d%22	https://themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/auto.svg	D:/mes_projets/Projet_Presentia/template_exauce/deuxieme_template/themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/auto.svg	(from https://themesbrand.com/velzon/html/material/icons-crypto.html)
16:53:03	2191/2191	---M--	200	added ('OK')	image/svg+xml	etag:%2288f-607431047e73d%22	https://themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/aywa.svg	D:/mes_projets/Projet_Presentia/template_exauce/deuxieme_template/themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/aywa.svg	(from https://themesbrand.com/velzon/html/material/icons-crypto.html)
16:53:04	614/614	---M--	200	added ('OK')	image/svg+xml	etag:%22266-607431047e73d%22	https://themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/bab.svg	D:/mes_projets/Projet_Presentia/template_exauce/deuxieme_template/themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/bab.svg	(from https://themesbrand.com/velzon/html/material/icons-crypto.html)
16:53:04	755/755	---M--	200	added ('OK')	image/svg+xml	etag:%222f3-607431047e73d%22	https://themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/bal.svg	D:/mes_projets/Projet_Presentia/template_exauce/deuxieme_template/themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/bal.svg	(from https://themesbrand.com/velzon/html/material/icons-crypto.html)
16:53:04	446/446	---M--	200	added ('OK')	image/svg+xml	etag:%221be-607431047e73d%22	https://themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/band.svg	D:/mes_projets/Projet_Presentia/template_exauce/deuxieme_template/themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/band.svg	(from https://themesbrand.com/velzon/html/material/icons-crypto.html)
16:53:05	237/237	---M--	200	added ('OK')	image/svg+xml	etag:%22ed-607431047e73d%22	https://themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/bat.svg	D:/mes_projets/Projet_Presentia/template_exauce/deuxieme_template/themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/bat.svg	(from https://themesbrand.com/velzon/html/material/icons-crypto.html)
16:53:05	928/928	---M--	200	added ('OK')	image/svg+xml	etag:%223a0-607431047e73d%22	https://themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/bay.svg	D:/mes_projets/Projet_Presentia/template_exauce/deuxieme_template/themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/bay.svg	(from https://themesbrand.com/velzon/html/material/icons-crypto.html)
16:53:05	1190/1190	---M--	200	added ('OK')	image/svg+xml	etag:%224a6-607431047e73d%22	https://themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/bcc.svg	D:/mes_projets/Projet_Presentia/template_exauce/deuxieme_template/themesbrand.com/velzon/html/material/assets/images/svg/crypto-icons/bcc.svg	(from https://themesbrand.com/velzon/html/material/icons-crypto.html)
